fichier,categorie,layout_manuel,ratio_hauteur_largeur,nb_lignes,densite_texte,couverture_verticale,part_bandes_peuplees,regularite_colonnes,cv_hauteurs_lignes,longueur_moyenne_ligne,part_lignes_courtes,confiance_mediane,m_niveaux_nommes,m_hierarchie_valeur,m_point_entree,m_difficulte,m_prerequis,m_optionnel,m_recompense,m_injonction,m_progression
01_2014.jpeg,2_General,grid,2.389,639,0.1699,0.637,0.485,0.752,0.507,9.7,0.983,1.0,0,0,0,0,0,0,0,0,0
01_2014–2020.jpeg,2_General,grid,3.011,782,0.2888,0.692,0.667,0.667,0.393,8.1,0.986,1.0,0,0,0,0,0,0,0,1,1
01_2022.jpeg,2_General,grid,2.059,664,0.1801,0.738,0.566,0.815,0.499,9.7,0.971,1.0,0,0,0,0,0,0,0,0,0
01_Ancient Western Philosophy.jpeg,3_Philosophy,sectioned_grid,0.729,138,0.1314,0.718,0.4,0.702,0.354,19.3,0.783,1.0,0,0,0,0,0,0,0,0,1
01_Anthropology of Myth and Religion.jpeg,6_Religion,flowchart,1.538,39,0.1037,0.465,0.032,1.0,0.592,12.4,0.897,1.0,0,0,0,0,0,0,0,0,0
01_Beginner 1.jpeg,5_Speculative Fiction,tier_list,3.002,172,0.0975,0.557,0.196,0.727,0.438,8.8,0.977,1.0,7,2,2,0,0,0,0,0,0
01_Chinese.jpeg,4_Countries.Nationalities,sectioned_grid,1.06,180,0.075,0.623,0.382,1.087,0.465,9.8,0.967,1.0,0,0,0,0,0,0,0,1,0
01_Enter The Esoterica.jpeg,6_Religion,sectioned_grid,3.5,52,0.1183,0.41,0.022,0.746,0.34,12.0,0.981,1.0,0,0,0,0,0,0,0,0,0
01_Green Pill (Spirituality.Stoner.Eco).jpeg,8_Pills,grid,4.556,322,0.1875,0.628,0.179,0.672,0.636,14.1,0.904,1.0,0,0,2,0,0,0,1,1,1
01_Leftist & Progressive.jpeg,7_Ideologies,grid,1.043,144,0.1574,0.555,0.404,0.454,0.735,13.1,0.965,1.0,0,0,0,0,0,0,1,0,2
01_Novellas.jpeg,2_General,grid,1.049,255,0.1747,0.651,0.462,0.732,0.754,13.6,0.961,1.0,0,0,0,0,0,0,0,0,0
01_Overview.jpg,3_Philosophy,map,0.702,201,0.2291,0.819,0.453,0.337,0.144,28.7,0.383,1.0,0,0,0,0,1,1,0,0,0
01_Sci-Fi 1.jpeg,5_Speculative Fiction,sectioned_grid,2.381,460,0.1771,0.747,0.477,0.917,0.615,10.5,0.965,1.0,0,0,0,0,1,0,0,0,0
01_Zizek 1.jpeg,7_Ideologies,list,3.266,107,0.3022,0.638,0.089,0.418,0.724,22.9,0.533,1.0,0,0,1,2,0,0,0,0,2
02_2014–2017.jpeg,2_General,sectioned_grid,0.6,1799,0.2009,0.986,0.862,1.4,0.479,7.8,0.99,1.0,0,0,0,0,0,0,0,0,4
02_2015.jpeg,2_General,grid,2.389,770,0.2367,0.804,0.689,0.722,0.426,8.7,0.987,1.0,0,0,0,0,0,0,0,0,1
02_Beginner 2.jpeg,5_Speculative Fiction,tier_list,2.357,377,0.1474,0.655,0.457,0.852,0.492,9.7,0.981,1.0,0,0,1,0,0,0,0,0,0
02_Bronze Age.jpeg,1_Beginnings,flowchart,1.289,202,0.1358,0.637,0.33,0.789,0.416,23.5,0.614,1.0,0,0,1,0,0,0,0,0,0
02_Christian.Catholic and Medieval Philosophy.jpeg,3_Philosophy,sectioned_grid,0.729,151,0.1297,0.757,0.426,0.726,0.368,12.7,0.921,1.0,0,0,0,0,0,0,0,0,1
02_Dante.jpeg,2_General,list,3.797,668,0.2013,0.684,0.389,0.431,0.159,38.7,0.246,1.0,0,1,2,0,0,0,1,27,1
02_Esoteric Islam.jpeg,6_Religion,sectioned_grid,1.395,267,0.2091,0.704,0.366,0.802,0.516,32.1,0.67,1.0,0,0,0,0,2,0,0,0,1
02_Foundational Mathematics (Real).jpeg,9_Science,tier_list,1.562,137,0.086,0.595,0.2,0.626,0.781,14.5,0.92,1.0,0,0,0,0,1,0,0,0,1
02_Guide to Harry Potter.jpeg,10_Meme Charts,flowchart,1.67,137,0.1289,0.543,0.192,0.742,0.656,19.8,0.796,1.0,0,0,0,0,0,0,1,2,0
02_Horror.jpeg,5_Speculative Fiction,sectioned_grid,1.044,156,0.1415,0.615,0.294,0.573,0.536,12.8,0.936,1.0,0,0,0,0,0,0,0,0,1
02_Intersectional Feminism.jpeg,7_Ideologies,grid,1.0,68,0.2487,0.793,0.122,0.542,0.763,12.3,0.912,1.0,0,0,0,0,0,0,0,0,0
02_Novellas 2.jpeg,2_General,grid,0.787,212,0.1033,0.85,0.442,0.821,0.553,9.4,0.986,1.0,0,0,0,0,0,0,0,0,0
02_Reactionary.jpeg,7_Ideologies,sectioned_grid,0.656,80,0.1726,0.642,0.325,0.48,0.647,9.5,0.988,1.0,0,0,0,0,0,0,0,0,0
02_Sci-Fi 2.jpeg,5_Speculative Fiction,sectioned_grid,2.273,400,0.1572,0.709,0.429,0.856,0.546,9.5,0.993,1.0,0,0,0,0,1,0,0,0,0
02_Starter Kit 2.jpeg,2_General,grid,1.988,46,0.1532,0.533,0.125,0.628,0.451,10.3,1.0,1.0,0,0,0,0,0,0,0,0,0
03_.pol.ack.jpeg,7_Ideologies,tier_list,0.74,298,0.1866,0.837,0.481,0.916,0.535,24.7,0.762,1.0,4,1,0,2,0,0,3,4,0
03_2015 Authors.jpeg,2_General,grid,2.389,406,0.1125,0.26,0.808,0.309,0.285,6.7,0.993,1.0,0,0,0,0,0,0,0,0,1
03_Bane Pill (Bane from Batman).jpeg,8_Pills,collage,0.944,25,0.093,0.285,0.214,0.431,0.515,14.2,0.92,1.0,0,0,0,1,0,0,0,0,0
03_Beowulf.jpeg,2_General,list,1.562,232,0.3497,0.684,0.411,0.637,0.267,33.7,0.397,1.0,0,0,0,0,0,0,0,3,2
03_Fiction.jpeg,5_Speculative Fiction,grid,3.65,455,0.2235,0.721,0.413,0.61,0.827,11.9,0.971,1.0,0,0,0,0,0,0,0,0,2
03_Foundational Mathematics.jpeg,9_Science,tier_list,1.6,165,0.0587,0.423,0.386,0.851,0.67,13.2,0.964,1.0,0,0,0,2,1,0,0,0,0
03_Greeks 1.jpeg,1_Beginnings,flowchart,0.824,123,0.1995,0.679,0.274,0.468,0.292,38.0,0.276,1.0,0,0,3,0,2,1,0,1,1
03_Modern Philosophy.jpeg,3_Philosophy,sectioned_grid,0.729,151,0.1137,0.79,0.318,0.666,0.328,14.2,0.927,1.0,0,0,0,0,0,0,1,0,1
03_Non-Tumblr Feminism.jpeg,7_Ideologies,grid,1.274,89,0.226,0.514,0.457,0.636,0.63,20.8,0.73,1.0,0,0,0,0,0,0,0,0,1
03_Novellas 3.jpeg,2_General,grid,1.104,406,0.1351,0.697,0.438,1.066,0.578,12.5,0.961,1.0,1,0,0,0,0,0,0,0,1
03_Qurans.jpeg,6_Religion,flowchart,0.667,29,0.2617,0.462,0.429,0.575,0.496,16.5,0.931,1.0,0,0,0,2,0,0,0,2,0
03_Starter Kit 3.jpeg,2_General,grid,1.897,101,0.163,0.641,0.186,0.345,0.449,12.5,0.96,1.0,0,0,0,0,0,0,0,0,0
03_The Americans.jpeg,10_Meme Charts,flowchart,0.824,165,0.2715,0.681,0.5,0.592,0.325,38.1,0.352,1.0,0,0,2,2,0,1,0,1,0
03_Western Occultism.jpeg,6_Religion,tier_list,1.538,128,0.1602,0.55,0.327,0.416,0.349,13.4,0.914,1.0,0,0,1,0,0,2,1,0,3
03_Zizek 3.jpeg,7_Ideologies,flowchart,0.714,98,0.2226,0.641,0.26,0.932,1.004,19.2,0.816,1.0,0,0,1,0,0,0,0,2,0
04_2016.jpeg,2_General,grid,2.391,725,0.2508,0.853,0.669,0.828,0.409,8.7,0.986,1.0,0,0,0,0,0,0,0,0,3
04_American Politics.jpeg,10_Meme Charts,collage,0.955,23,0.1711,0.32,0.111,0.47,0.852,14.7,0.957,0.5,0,0,0,0,0,0,0,0,0
04_Dostoyevsky.jpeg,2_General,list,0.697,227,0.3963,0.837,0.479,0.614,0.799,63.1,0.11,1.0,0,0,0,0,0,0,0,1,0
04_Esoteric Techno-Facism.jpeg,7_Ideologies,sectioned_grid,1.603,194,0.1939,0.605,0.446,0.803,0.536,13.5,0.943,1.0,0,0,0,0,0,0,0,0,0
04_Evola 1.jpeg,7_Ideologies,list,4.753,161,0.3414,0.499,0.0,0.0,1.592,107.7,0.093,1.0,0,0,0,4,7,5,1,5,13
04_Gothic.Horror Flowchart.jpeg,5_Speculative Fiction,flowchart,1.0,183,0.0967,0.801,0.233,0.92,0.622,9.4,0.984,1.0,0,0,0,0,0,0,0,0,0
04_Greeks 2.jpeg,1_Beginnings,flowchart,1.111,124,0.0637,0.418,0.25,0.587,0.503,35.4,0.581,1.0,0,0,3,0,0,0,0,1,0
04_NPR Top 100 Sci-Fi.jpeg,5_Speculative Fiction,flowchart,0.605,257,0.0664,0.841,0.511,0.977,0.567,9.6,0.981,1.0,0,0,0,0,0,0,0,3,0
04_Political Philosophy.jpeg,3_Philosophy,sectioned_grid,2.023,427,0.1138,0.616,0.392,0.768,0.827,10.8,0.991,1.0,0,0,0,0,0,0,5,0,0
04_Sacred Texts.jpeg,6_Religion,sectioned_grid,1.41,293,0.1444,0.586,0.537,0.752,0.413,18.4,0.816,1.0,0,0,0,0,0,0,0,0,0
04_Selected Fantasy.jpeg,5_Speculative Fiction,grid,1.875,97,0.1636,0.412,0.304,0.72,0.69,14.0,0.845,1.0,0,0,0,0,0,0,0,1,0
04_The Scientific Revolution.jpeg,3_Philosophy,sectioned_grid,0.729,123,0.0848,0.615,0.298,0.774,0.527,11.6,0.959,1.0,0,0,0,0,0,0,0,0,1
04_Various Pills Chart.jpeg,8_Pills,sectioned_grid,0.474,50,0.0344,0.51,0.156,0.791,0.335,9.0,1.0,1.0,0,0,0,0,0,0,0,0,0
05_2017.jpeg,2_General,grid,2.389,726,0.2211,0.79,0.63,0.787,0.428,8.3,0.988,1.0,1,0,0,0,0,0,0,0,0
05_Buddhism.jpeg,6_Religion,flowchart,1.926,291,0.2101,0.758,0.2,0.832,0.387,27.3,0.581,1.0,0,0,1,0,2,2,1,4,0
05_Carle.jpeg,10_Meme Charts,flowchart,0.823,69,0.1963,0.53,0.324,0.759,0.367,32.3,0.362,1.0,0,0,2,2,2,1,0,5,0
05_Evola 2.jpeg,7_Ideologies,flowchart,0.765,167,0.1137,0.649,0.22,1.234,0.601,24.1,0.677,1.0,0,0,1,0,0,1,0,2,1
05_German Idealism.jpeg,3_Philosophy,sectioned_grid,0.411,70,0.0913,0.587,0.281,0.637,0.679,15.3,0.9,1.0,0,0,0,0,1,0,0,0,1
05_Greek 3.jpeg,1_Beginnings,sectioned_grid,1.52,171,0.1564,0.512,0.247,0.843,0.635,29.8,0.778,1.0,0,0,3,1,1,0,0,2,7
05_Green Nationalism.jpeg,7_Ideologies,grid,1.498,97,0.1958,0.576,0.286,0.578,0.464,19.1,0.794,1.0,0,0,0,0,0,0,0,0,0
05_Guide.jpeg,5_Speculative Fiction,sectioned_grid,1.5,236,0.2365,0.673,0.606,0.877,0.589,10.4,0.932,1.0,0,0,0,0,0,0,0,0,0
05_Horror Authors.jpeg,5_Speculative Fiction,grid,1.043,195,0.0731,0.161,0.739,0.495,0.278,16.6,0.892,1.0,0,0,0,0,0,0,0,1,2
05_Leninism.jpeg,7_Ideologies,sectioned_grid,1.273,174,0.124,0.548,0.256,0.742,0.384,15.8,0.92,1.0,0,0,0,0,2,0,0,0,0
05_Sci-Fi Guide.jpeg,5_Speculative Fiction,sectioned_grid,1.94,616,0.1202,0.538,0.558,0.856,0.395,8.5,0.995,1.0,0,0,0,0,1,0,0,1,0
05_Starter Kit 5.jpeg,2_General,tier_list,3.407,98,0.1494,0.529,0.117,1.008,0.764,8.1,1.0,1.0,0,0,1,0,0,0,0,0,0
06_2018.jpeg,2_General,grid,2.161,542,0.1405,0.675,0.5,0.88,0.531,8.9,0.996,1.0,0,0,0,0,0,0,0,0,0
06_Anarchism.jpeg,7_Ideologies,list,2.0,73,0.2805,0.744,0.0,0.0,0.205,39.7,0.164,1.0,0,0,0,0,0,0,0,1,0
06_Gothic.jpeg,5_Speculative Fiction,grid,4.778,136,0.0629,0.265,0.159,0.244,0.445,15.8,0.912,1.0,0,0,0,0,0,0,0,0,0
06_Great Poems.jpeg,2_General,grid,1.292,320,0.084,0.139,0.854,0.631,0.86,21.8,0.547,1.0,0,0,0,0,0,0,0,1,0
06_Harry Potter.jpeg,10_Meme Charts,flowchart,3.125,150,0.1083,0.346,0.091,0.825,0.694,15.6,0.833,1.0,0,0,2,0,0,0,0,0,0
06_Hermeticism.jpeg,6_Religion,sectioned_grid,2.0,82,0.0654,0.314,0.209,0.363,0.391,12.5,0.963,1.0,0,0,0,0,0,1,0,0,0
06_Inverse.jpeg,2_General,sectioned_grid,2.141,386,0.0987,0.548,0.328,0.506,0.375,13.6,0.961,1.0,0,0,2,1,0,0,0,2,0
06_Modern V2.jpeg,5_Speculative Fiction,sectioned_grid,1.5,269,0.2444,0.773,0.588,0.831,0.507,9.1,0.955,1.0,0,0,0,0,0,0,0,0,1
06_More Modern Philosophy.jpeg,3_Philosophy,sectioned_grid,0.84,207,0.1521,0.852,0.427,0.696,0.515,13.8,0.908,1.0,0,0,0,0,0,0,0,0,1
06_Romans 1.jpeg,1_Beginnings,sectioned_grid,0.799,124,0.1825,0.55,0.52,0.532,0.324,33.0,0.476,1.0,0,0,0,0,0,0,0,2,1
06_Sci-Fi Crash Course.jpeg,5_Speculative Fiction,tier_list,1.139,113,0.1536,0.599,0.404,0.829,0.608,10.1,0.965,1.0,0,0,0,0,0,0,0,0,0
06_Science.jpeg,2_General,sectioned_grid,2.814,141,0.1786,0.552,0.24,0.676,0.491,12.4,0.908,1.0,0,0,0,0,0,0,0,0,0
07_.sci. cs.jpeg,9_Science,sectioned_grid,2.0,164,0.2402,0.55,0.317,0.913,0.707,19.8,0.774,1.0,0,0,1,0,2,0,0,0,1
07_2019.jpeg,2_General,grid,1.85,536,0.1488,0.604,0.443,0.723,0.685,9.4,0.979,1.0,0,0,0,0,0,0,0,0,0
07_Dune.jpeg,5_Speculative Fiction,list,2.238,145,0.4157,0.588,0.25,0.808,0.592,26.9,0.786,1.0,0,0,0,0,0,0,0,8,2
07_Early Existentialism and a Continuation of Modern Philosophy.jpeg,3_Philosophy,sectioned_grid,0.868,218,0.1622,0.849,0.476,0.763,0.44,14.0,0.95,1.0,0,0,0,0,0,0,0,0,1
07_Essential .lit.core.jpeg,2_General,grid,1.444,160,0.1161,0.531,0.27,0.8,0.719,10.7,0.963,1.0,0,0,0,0,0,0,0,0,0
07_Homosexuals.jpeg,2_General,grid,1.276,192,0.1508,0.583,0.361,0.665,0.605,12.6,0.953,1.0,0,0,0,0,0,0,0,0,0
07_Intro to Esotericism.jpeg,6_Religion,tier_list,1.575,150,0.1406,0.559,0.328,0.442,0.327,11.5,0.987,1.0,0,0,0,0,0,0,1,0,0
07_Neon Pill (Cyberpunk).jpeg,8_Pills,grid,1.746,141,0.1549,0.426,0.211,0.708,0.791,11.7,0.929,1.0,0,0,0,0,0,0,0,0,0
07_Political Theory.jpeg,3_Philosophy,grid,1.128,199,0.2084,0.775,0.405,0.645,0.412,12.3,0.96,1.0,0,0,0,0,2,0,1,2,2
07_Romans 2.jpeg,1_Beginnings,flowchart,0.61,116,0.128,0.632,0.346,0.711,0.328,31.1,0.534,1.0,0,0,0,0,0,0,0,2,1
08_.his..jpeg,10_Meme Charts,grid,2.059,89,0.2764,0.6,0.083,0.552,0.632,16.4,0.809,1.0,0,0,0,0,0,0,0,0,0
08_2020.jpeg,2_General,grid,2.2,658,0.1829,0.835,0.639,0.827,0.544,8.1,0.991,1.0,0,0,0,0,0,0,0,0,0
08_Analytic Philosophy.jpeg,3_Philosophy,sectioned_grid,0.648,165,0.1807,0.848,0.365,0.793,0.464,16.7,0.861,1.0,0,0,0,0,1,0,0,0,1
08_Ancient Origins.jpeg,6_Religion,grid,3.501,88,0.1258,0.39,0.158,0.744,0.881,12,0.955,1.0,0,0,0,0,0,0,0,0,0
08_Asatru.jpeg,6_Religion,sectioned_grid,0.535,75,0.0593,0.394,0.31,0.707,0.467,23.4,0.613,1.0,0,0,1,0,0,0,0,0,0
08_Beginner Flowchart 1.jpeg,5_Speculative Fiction,flowchart,0.684,163,0.1553,0.851,0.472,0.639,0.148,12.6,1.0,1.0,0,0,1,0,0,0,0,0,0
08_Computer Science.jpeg,9_Science,grid,1.848,253,0.1279,0.601,0.24,0.753,0.555,15.0,0.881,1.0,0,0,0,2,1,0,0,0,0
08_Depressing.jpeg,2_General,grid,1.4,251,0.1236,0.613,0.316,0.774,0.519,12.5,0.964,1.0,0,0,0,0,0,0,0,0,0
08_Favourites.jpeg,5_Speculative Fiction,grid,1.5,81,0.1311,0.435,0.109,0.533,1.12,16.2,0.815,1.0,0,0,0,0,0,0,0,0,0
08_Golden Pill (Philosophy.Utopia.Sci-Fi.).jpeg,8_Pills,tier_list,2.609,164,0.1473,0.454,0.153,0.925,0.738,13.5,0.884,1.0,0,0,0,0,4,0,0,0,0
08_Patriciancore.jpeg,2_General,grid,1.6,250,0.2075,0.67,0.402,0.835,0.621,12.7,0.844,1.0,0,1,0,0,0,0,0,0,0
08_Pedo.jpeg,2_General,sectioned_grid,1.925,188,0.1423,0.555,0.405,0.698,0.521,11.9,0.957,1.0,0,0,0,0,0,0,0,0,0
08_Revolutionary.jpeg,7_Ideologies,collage,0.698,40,0.1744,0.385,0.368,0.635,1.045,11.8,0.925,1.0,0,0,0,1,0,0,0,0,0
08_Right-Wing.jpeg,7_Ideologies,sectioned_grid,0.887,232,0.1321,0.594,0.403,0.808,0.314,16.5,0.901,1.0,0,0,0,0,0,0,0,0,0
09_2020.jpeg,2_General,grid,2.52,790,0.1843,0.714,0.593,0.831,0.486,8.5,0.977,1.0,0,0,0,0,0,0,0,0,0
09_A Continuation of Analytic Philosophy and the Philosophy of the Mind.jpeg,3_Philosophy,sectioned_grid,0.647,179,0.1889,0.826,0.508,0.744,0.709,15.0,0.894,1.0,0,0,0,0,0,0,0,0,1
09_Autodidactism.jpeg,1_Beginnings,sectioned_grid,3.163,84,0.1697,0.415,0.034,0.988,0.392,19.9,0.714,1.0,0,0,0,0,0,0,0,0,0
09_Bowden.jpeg,7_Ideologies,flowchart,0.824,294,0.3212,0.792,0.526,1.061,0.258,21.8,0.68,1.0,0,0,1,0,0,0,0,0,1
09_Brazilian.jpeg,4_Countries.Nationalities,grid,1.582,82,0.1011,0.504,0.148,0.56,0.52,15.5,0.841,1.0,0,0,0,0,0,0,0,0,0
09_Christian Poetic Narratives.jpeg,6_Religion,grid,2.314,656,0.1545,0.619,0.42,1.006,0.455,14.5,0.928,1.0,0,0,0,0,0,0,0,0,1
09_Gatekeeper's Remorse.jpeg,6_Religion,grid,2.086,189,0.164,0.536,0.39,0.586,0.442,14.7,0.894,1.0,0,0,0,0,0,0,0,0,1
09_History of Philosophy Library.jpeg,3_Philosophy,grid,1.0,348,0.1017,0.78,0.563,0.982,0.549,12.1,0.966,1.0,0,0,0,0,1,0,0,0,0
09_Libertarianism.jpeg,7_Ideologies,tier_list,1.998,281,0.1517,0.682,0.412,0.671,0.506,12.3,0.925,1.0,21,0,0,0,0,0,0,0,0
09_Midwit-Core.jpeg,2_General,grid,1.214,156,0.1593,0.765,0.359,0.837,0.696,12.3,0.91,1.0,0,0,0,0,0,0,0,0,0
09_Programming.jpeg,9_Science,tier_list,2.371,147,0.1743,0.558,0.141,0.944,1.106,14.8,0.878,1.0,4,1,1,0,2,0,0,0,0
09_Think Before Posting.jpeg,5_Speculative Fiction,sectioned_grid,0.678,105,0.098,0.65,0.421,0.792,0.441,9.0,0.981,1.0,0,0,0,0,1,0,0,0,0
10_.lit. canon.jpeg,2_General,collage,0.843,74,0.2851,0.384,0.182,0.635,1.488,39.1,0.865,1.0,0,0,1,0,0,0,0,0,0
10_Black Nationalism.jpeg,7_Ideologies,list,1.699,72,0.3684,0.77,0.0,0.0,0.231,19.6,0.764,1.0,0,0,0,0,0,0,0,0,0
10_Escape the Matrix.jpeg,6_Religion,sectioned_grid,2.086,197,0.1245,0.518,0.333,0.642,0.518,14.7,0.883,1.0,0,0,0,0,0,0,0,0,0
10_Intro Short Story 1.jpeg,2_General,sectioned_grid,0.903,117,0.1429,0.505,0.4,0.525,0.435,17.2,0.906,1.0,0,0,0,0,0,0,0,0,0
10_Nietzchean.jpeg,3_Philosophy,sectioned_grid,0.928,131,0.1413,0.692,0.286,0.777,1.192,13.2,0.962,1.0,0,0,0,0,0,0,0,0,0
10_Pessimist.jpeg,2_General,collage,1.299,36,0.2047,0.541,0.227,0.331,0.379,16.9,0.778,1.0,0,0,0,0,0,0,0,0,0
10_Postmodernism.jpeg,3_Philosophy,sectioned_grid,0.687,159,0.1609,0.761,0.483,0.704,0.569,14.9,0.874,1.0,0,0,0,0,0,0,0,0,1
10_Tigers.jpeg,10_Meme Charts,grid,0.733,54,0.1227,0.533,0.241,0.754,0.671,11.8,0.944,0.5,0,0,0,0,0,0,0,0,0
10_Utopia & Dystopia.jpeg,5_Speculative Fiction,sectioned_grid,0.671,80,0.1253,0.589,0.382,0.774,0.585,10.7,0.925,1.0,0,0,0,0,0,0,0,0,0
10_Western.jpeg,1_Beginnings,flowchart,0.63,155,0.2901,0.808,0.784,0.706,0.181,10.5,0.974,1.0,0,0,0,0,0,0,0,0,0
11_.lit. canon 2.jpeg,2_General,grid,1.982,146,0.0865,0.502,0.093,0.36,0.597,17.6,0.76,1.0,0,0,0,0,0,0,0,2,0
11_African Americans.jpeg,4_Countries.Nationalities,sectioned_grid,3.932,110,0.1529,0.547,0.091,0.675,0.812,9.3,0.991,1.0,0,0,0,0,0,0,0,0,0
11_Architecture.jpeg,9_Science,grid,2.053,67,0.1154,0.417,0.062,0.625,0.799,12.5,0.955,1.0,0,0,0,0,0,0,0,0,0
